Manufacturer,Part_no,Name,Description,Image,Quantity,Price,Weight,UPC,Condition,
"Panasonic","KXTHA14","Panasonic KX-THA14 MULTI TALK V USB Adapter","The KX-THA14 adapter allows your Panasonic Multi Talk devices to communicate with your PC. It plugs into an available USB slot in your PC, and requires the use of a Multi Talk KX-THA02 base system. Once installed, you can access the Internet or another computer via the Multi Talk software installed in your Multi Talk base unit. Access is available via either a personal area network or a dial up network.   Once installed, you can manage all your Multi Talk devices from your PC, in addition to editing your phonebook and transferring image files from your PC to your phone.     The adapter is compatible with Microsoft Windows 98SE, Me, 2000 and XP. 50 MB hard disk space is required, and 128 MB of RAM.","http://www.2cis.com/images/312200811447.jpg","163","25.73970000","1.00","","New",
"Panasonic","KXTHA16","Panasonic KX-THA16 MULTI TALK V Cordless Camera Station","The KX-THA16 ties your PC system to your home telephone via a 3.6&quot; color LCD screen with a built-in camera and speakerphone. Operating via a 2.4 GHz signal and Bluetooth wireless technology, the unit also includes a USB port. Once connected, you can send pictures and songs from your PC to the handset and create and edit phonebook entries using your PC. An accessory for the Multi Talk base unit, a KX-THA02 system (available separately) is required for use. This unit is also compatible with Bluetooth-enabled cellular phones, and allows you to make or receive cellular calls.","http://www.2cis.com/images/312200811913.jpg","109","25.73970000","3.00","","New",
"Toshiba","CASE","","","http://www.2cis.com/images/912010123315PMPAN_DY-CC10.jpg","11","7.19970000","0.00","","New",
"Panasonic","KXTGA573","Panasonic KX-TGA573 Panasonic 5.8 GHz FHSS GigaRange Expandable","","http://www.2cis.com/images/513200813815.jpg","94","30.88970000","2.00","","New",
"Panasonic","KXTGA575","Panasonic KX-TGA575 5.8 GHz USB Telephone Adaptor for Skype","","http://www.2cis.com/images/513200814806.jpg","872","25.73970000","1.00","","New",
"MGABratz","360162","MGA Entertainment Bratz Plugged In Digital Video Camera","Get plugged into the scene and record all the fun memories, BRATZ-style. The hot BRATZ Plugged In Digital Video Camera is loaded with quality features, like 64MB of built-in memory, three megapixel resolution, an SD card slot for more memory, a 1.5&quot; LCD viewer and much more. Plus, it's light and compact so you can always capture the party! After the event, load your clips onto your PC and create custom movies and music videos with your BRATZ ArcSoft Editing Software!","http://www.2cis.com/images/617200811165.jpg","1963","36.03970000","1.00","","New",
"Panasonic","TH42PX80 RB","Panasonic TH-42PX80 42"" Class (41.6"" Diagonal) Widescreen VIERA","The TH-42PX80U VIERA Plasma 42&quot; (41.6&quot; Diagonal) TV from Panasonic can be the cornerstone of your home theater. This stylish screen features 720p resolution with a native contrast ratio of 15,000:1 for crisp, detailed imagery. With its 3 HDMI ports, this plasma screen is ready for all your HD gear with one-cable pure digital connections. The SD slot will allow for instant slideshows in widescreen of your favorite JPEGs. The TH-42PX80U also features VIERA link HDAVI control of your other &quot;HDAVI Control&quot; equipped components when connected via HDMI. The anti-reflective filter allows for viewing in rooms with abundant ambient light. A special game mode is available for when using this plasma screen with your gaming system.","http://www.2cis.com/images/624200810234.jpg","1","381.08970000","78.00","","Refurbished",
"Panasonic","RPHV21A","Panasonic RP-HV21A Stereo Ear-Bud Headphones with Unique Clip De","","http://www.2cis.com/images/620200851722.jpg","450","5.92250000","1.00","","New",
"Panasonic","RPHV21G","Panasonic RP-HV21G Stereo Ear-Bud Headphones with Unique Clip De","","http://www.2cis.com/images/620200851819.jpg","240","5.92250000","1.00","","New",
"Panasonic","RPHV21K","Panasonic RP-HV21K Stereo Ear-Bud Headphones with Unique Clip De","","http://www.2cis.com/images/620200851911.jpg","517","5.92250000","1.00","","New",
"Panasonic","RPHV21R","Panasonic RP-HV21R Stereo Ear-Bud Headphones with Unique Clip De","","http://www.2cis.com/images/623200811411.jpg","96","5.92250000","1.00","","New",
"Panasonic","RPHV21W","Panasonic RP-HV21W Stereo Ear-Bud Headphones with Unique Clip De","Panasonic's vision of the digital future is driven by the needs and aspirations of its business customers and millions of consumers around the world who use its products every day. The company shares their dream to live a fuller life by providing ways of working smarter and enjoying the rewards of technological advances.This product is white stereo ear-bud headphones with unique clip design for tangle-free cords.","http://www.2cis.com/images/623200811410.jpg","1098","5.92250000","1.00","","New",
"Casio","LK100 RB","Casio LK-100 61 Key Lighted Keyboard","The Casio LK-100 61 Key Musical Keyboard features a 61-key full-size lighted keyboard with Sing-Along function, as well as 100 presets.    This keyboard also comes with 100 built-in songs. Its big LCD screen graphically shows you fingerings and which keys to press.      Lastly, the LK-100 also includes a lesson system that lets you practice at your own pace. The keyboard grades your performances, so you can follow your progress as you improve.","http://www.2cis.com/images/1014200810103.jpg","17","82.38970000","14.00","","Refurbished",
"Panasonic","RPHV21P","Panasonic RP-HV21P Stereo Ear-Bud Headphones with Unique Clip De","","http://www.2cis.com/images/107200811565.jpg","105","5.92250000","1.00","","New",
"Panasonic","KXT7601 RB","Panasonic KX-T7601 USB Expansion Card","","http://www.2cis.com/images/212201032414PMPAN_KX-T7601.jpg","1","82.38970000","1.00","","Refurbished",
"Panasonic","KXTAW848 RB","Panasonic KX-TAW848 Advanced Hybrid Wired/Wireless Telephone Sys","","http://www.2cis.com/images/23200911340.jpg","53","247.18970000","11.00","","Refurbished",
"Panasonic","KXTDA50 RB","Panasonic KX-TDA50 Hybrid IP-PBX - max. 40 Ports","","http://www.2cis.com/images/23200911224.jpg","129","236.88970000","4.00","","Refurbished",
"Panasonic","KXTDA5166 RB","Panasonic KX-TDA5166 8-Channel Echo Canceller Card","","http://www.2cis.com/images/23200920756.jpg","1","164.78970000","1.00","","Refurbished",
"Panasonic","KXTDA5192 RB","Panasonic KX-TDA5192 Simplified Voice Message Card","","http://www.2cis.com/images/23200914815.jpg","13","139.03970000","1.00","","Refurbished",
"Panasonic","KXTDA600 RB","Panasonic KX-TDA600 Hybrid IP-PBX - 1024 Ports","","http://www.2cis.com/images/23200940817.jpg","2","751.88970000","22.00","","Refurbished",
"Panasonic","KXTVA200 RB","Panasonic KX-TVA200 Voice processing System, up to 24 ports, up","","http://www.2cis.com/images/23200912023.jpg","38","545.88970000","11.00","","Refurbished",
"Panasonic","KXTD170 RB","Panasonic KX-TD170 Digital 8 Station Card Extension Expansion Mo","","http://www.2cis.com/images/24200914220.jpg","1","154.48970000","3.00","","Refurbished",
"Panasonic","KXTD197 RB","Panasonic KX-TD197 28.8 Kbps Remote Modem Card","","http://www.2cis.com/images/24200915454.jpg","1","154.48970000","1.00","","Refurbished",
"Panasonic","KXTD50197 RB","Panasonic KX-TD50197 Remote Card For KX-TD500","","http://www.2cis.com/images/24200932514.jpg","1","185.38970000","2.00","","Refurbished",
"Panasonic","KXTDA200 RB","Panasonic KX-TDA200 Hybrid IP-PBX - 192 Ports","","http://www.2cis.com/images/24200911221.jpg","1","401.68970000","1.00","","Refurbished",
"Panasonic","KXTVS204 RB","Panasonic KX-TVS204 4 Port EXTEN Card for TVS200 Max 2 Cards Per","","http://www.2cis.com/images/414201021432PMPAN_KX-TVS204.jpg","3","205.98970000","1.00","","Refurbished",
"Panasonic","KXTVS325 RB","Panasonic KX-TVS325 Voice processing System, up to 24 ports, up","","http://www.2cis.com/images/24200923253.jpg","2","968.18970000","1.00","","Refurbished",
"Panasonic","KXTVS52 RB","Panasonic KX-TVS52 Memory Expansion Card for KX-TVS50","","http://www.2cis.com/images/24200930118.jpg","1","36.03970000","1.00","","Refurbished",
"Philips","PET702 RB","Philips PET702 7"" Portable DVD Player TFT LCD Display","With the Philips PET702 Portable 7&quot; DVD Player you can immerse yourself in multi-format DVD video, CD, and Dolby Digital audio playback capabilities. The PET702 features a discrete headphone output and Anti-Skip Protection - whether it's for your next road trip, to view family photos on holiday or enjoy your favorite movie on the train, the playback will remain jitter free, even on the bumpiest of commutes.     Integrate the Philips PET702 into your home-theater system or take it on your next vacation. Either way, you will enjoy high resolution DVD playback with exceptional digital sound quality. The PET702 features a very bright 7&quot; wide-screen TFT LCD display with 480 x 234 pixel resolution, perfect for viewing 16:9 letterbox and anamorphic DVDs. If you want a unified, stylish, and easy-to-use portable DVD player with 2.5 hours of continuous playback capability, look no further than the Philips PET702.","http://www.2cis.com/images/212200935745.jpg","1","53.54970000","0.00","","Refurbished",
"Panasonic","ES8109 RB","Panasonic ES8109 Vortex Wet/Dry Shaver with Nanotech Blades, Hyd","","http://www.2cis.com/images/33200925247.jpg","2","92.68970000","0.00","","Refurbished",
"Panasonic","NIC78SR","Panasonic NI-C78SR Steam Iron with 3-Way Auto Shut-Off, Stay-Cle","","http://www.2cis.com/images/220200911312.jpg","284","36.03970000","3.00","","New",
"Panasonic","KXT0151","Panasonic KX-T0151 2 Channel Cell Station With DPT I/F For Use W","Panasonic KX-T0151 Two Channel Cell Station Unit With DPT I/F For Use With 7600 Series Multi-Cell Wireless Telephones, Can add up to 128 wireless handsets to the KX-TDA system, Can add up to 28 wireless handsets to the KX-TAW system","http://www.2cis.com/images/9212010121039PMPAN_KX-T0151.jpg","191","51.48970000","1.00","","New",
"Panasonic","KXTDA0152","Panasonic KX-TDA0152 3-Channel Cell Station","","http://www.2cis.com/images/PAN_KX-T0151.jpg","61","61.78970000","1.00","","New",
"Panasonic","DMPBD605 RB","Panasonic DMP-BD605K Viera Cast, SD Memory Card Slot, Blu-ray Di","","http://www.2cis.com/images/6302009103532AMPAN_DMP-BD605K.jpg","58","56.63970000","9.00","","Refurbished",
"Panasonic","KXTGA931 RB","Panasonic KX-TGA931T DECT 6.0 Digital Cordless Handset","Designed as an additional handset to work with your existing DECT 6.0 Panasonic cordless Phone System, this Panasonic Additional Handset gives you the option to put an additional handset in the den, the kitchen, the master bedroom, or the living room--all while using only one base and one phone jack. Key features include talking caller ID, talking battery alert, talking alarm clock, a speaker phone, a 3-line backlit LCD display, and a backlit keypad. Desk or wall mountable, this handset is compatible with the KX-TH1200, KX-TG6300, and KX-TG9300 series phone systems.","http://www.2cis.com/images/PAN_KX-TGA931S.jpg","2","14.45090000","0.00","","Refurbished",
"Panasonic","RPDJ600","Panasonic RP-DJ600 DJ-Style Headphones with Swivel Mechanism","Professional Quality Headphones for Exceptional Sound  For quality sound and top comfort no matter where your mix, this closed-ear design ensures you hear every note, while the swivel mechanism allows free-style monitoring. The large-diameter driver units add even more comfort and listening pleasure.","http://www.2cis.com/images/622200910201.jpg","8","36.03970000","0.00","","New",
"Panasonic","RPHV21V","Panasonic RP-HV21V Stereo Ear-Bud Headphones with Unique Clip De","","http://www.2cis.com/images/PAN_RP-HV21V.jpg","200","5.92250000","1.00","","New",
"Uniden","TRU94602 RB","Uniden TRU9460-2 5.8GHz Digital (FHSS) Compact Cordless Phone wi","","http://www.2cis.com/images/782009110948AMUniden_TRU9460-2.jpg","3","29.85970000","0.00","","Refurbished",
"Panasonic","RPHV108K","Panasonic RP-HV108K Ear Bud Headphones With Volume Control, Blac","","http://www.2cis.com/images/7232009101034AMPAN_RP-HV108K.jpg","1381","5.55170000","1.00","","New",
"Panasonic","TCP42C1","Panasonic TC-P42C1 42"" Viera C1 Series 720p HDTV Plasma","<b>Watch Fast-Moving Scenes with Clear, Vivid Resolution </b>  The 600Hz Sub-field Drive produces crisp, focused images for sports, dramatic action, and all other fast-moving scenes. Whatever your favorite sport, the games never looked sharper.    <b>Share Your Digital Photos on the Big Screen </b>  VIERA Image Viewer provides a better way to share your digital photos. Just pop your SD memory card into the handy slot, and instantly display your digital photos for friends and family.    <b>Network Your AV Devices, Quickly and Easily </b>  With VIERA Link, you can control your compatible Panasonic DVD recorder, Blu-ray Disc player, home theater sound system and HD camcorder, all with a single remote and helpful on-screen menus.menus.","http://www.2cis.com/images/7102009105141AMPAN_TC-P42C1.jpg","1","514.98970000","0.00","","New",
"Panasonic","HHRP104","Panasonic HHR-P104A Cordless Telephone Battery","","http://www.2cis.com/images/7312009103805AMPAN_HHR-P104A.jpg","73","10.08370000","1.00","","New",
"Uniden","DXAI85802 RB","Uniden DXAI8580-2 5.8 GHz Digital Answering System with Extra Ha","","http://www.2cis.com/images/832009111926AMUniden_DXAI8580-2.jpg","8","30.88970000","0.00","","Refurbished",
"JVC","VXHD150G","JVC VXHD150G 16.3FT Gold HDMI Digital Audio/Video Cable","","http://www.2cis.com/images/9172009112650AMJVC_VXHD150G.jpg","16","13.37970000","1.00","","New",
"JVC","VDW14G10SP","JVC VDW14G10SP Mini DVD-R 8.0cm Recordable Disc 10 Packs","The JVC VDW14G10SP Mini DVD-R (8.0cm) Recordable Disc (Spindle pack of 10) is a single-sided, rewritable, non-hard coat disc made to be used in a DVD camcorder. The disc has a 1.4GB storage capacity, or 30 minutes of recording time. It is playback compatible with most DVD-R players and DVD-R drives. The disc is re-recordable up to 1,000 times.","http://www.2cis.com/images/9172009111218AMJVC_VDW14G10SP.jpg","1","6.16970000","1.00","","New",
"Panasonic","KXTG1062","Panasonic KX-TG1062M Expandable Digital Cordless Telephone with","","http://www.2cis.com/images/9252009110937AMPAN_KX-TG1062M.jpg","12","92.68970000","3.00","","New",
"Panasonic","NIW450TS","Panasonic NI-W450TS 360?Quick 1500W Steam/Dry Iron with Curved N","","http://www.2cis.com/images/9302009102054AMPAN_NI-W450TS.jpg","68","40.15970000","4.00","","New",
"Panasonic","HHR4DPA/2B","Panasonic HHR-4DPA Replacement Battery for Panasonic Cordless De","","http://www.2cis.com/images/1022009121337PMPAN_HHR-4DPA.jpg","77","8.22970000","1.00","","New",
"Panasonic","KXTCA60","Panasonic KX-TCA60 Hands-Free Headset with Comfort Fit Headband","","http://www.2cis.com/images/1022009114628AMPAN_KX-TCA60.jpg","241","10.28970000","1.00","","New",
"Panasonic","KXTCA93","Panasonic KX-TCA93 Hands-Free Headset, Clip Style and Right/Left","","http://www.2cis.com/images/1022009113617AMPAN_KX-TCA93.jpg","43","10.28970000","1.00","","New",
"Panasonic","SDRS25 RB","Panasonic SDR-S25A SD Card Camcorder, Optical 70x Ultra Zoom, Bl","Panasonic SDR-S25A SD Card Standard Defintion Camcorder with Optical 70x Ultra Zoom, Advanced Optical Image Stabilization and Easy Uploading to You Tube, Blue","http://www.2cis.com/images/106200914958PMPAN_SDR-S25A.jpg","1","113.28970000","0.00","","Refurbished",
"PEE","SF24D","Peerless SF24D Model-Specific Flat Wall Mount for 22"" to 71"" Fla","The Peerless SF24D Flat SmartMount Dedicated Mount provides screen specific solutions for mounting medium to large sized flat-panel screens.     Both flat and tilting models are available and compatible with Peerless' comprehensive inventory of screen-specific PLP adapter plates, ensuring a precise fit for almost any plasma or LCD screen.     Additionally, installers can choose from either a wall plate for 16&quot; stud centers, perfect for any portrait-style applications, or a more versatile wall plate for 16-24&quot; stud centers.     Peerless is one of the leaders in the Audio-Visual equipment mounting field. For more than 40 years, Peerless has continually come up with solutions that focus on not only strength but quality as well. Whether you are mounting a TV, VCR, plasma, projector, or speakers, Peerless has the answer.","http://www.2cis.com/images/1012009122515PMPeerless_SF24D.jpg","16","30.88970000","9.00","","New",
"Panasonic","KXTG6445 RB","Panasonic KX-TG6445T Expandable Digital Cordless Telephone with","","http://www.2cis.com/images/113200923154PMPAN_KX-TG6445T.jpg","74","82.38970000","5.00","","Refurbished",
"Panasonic","SDRH80 RB","Panasonic SD-RH80 60GB HDD & SD Card Slot Standard Definition Ca","","http://www.2cis.com/images/113200930712PMPAN_SDR-H80A.jpg","1","257.48970000","3.00","","Refurbished",
"Panasonic","RPHV108W","Panasonic RP-HV108W Ear Bud Headphones With Volume Control, Whit","","http://www.2cis.com/images/11172009123826PMPAN_RP-HV108W.jpg","1276","5.55170000","1.00","","New",
"Panasonic","SDRS26 RB","Panasonic SDR-S26, 70x Optical Zoom,SD Card Standard Definition","","http://www.2cis.com/images/1112200934646PMPAN_SDR-S26K.jpg","1","123.58970000","0.00","","Refurbished",
"Philips","SGP5012/27","Philips SGP5012/27 Retractable AC/DC charger","","http://www.2cis.com/images/1210200933044PMPhilips_SGP501227.jpg","3599","4.10970000","1.00","","New",
"HOO","H3040 RB","Hoover H3040RM FloorMate SpinScrub Widepath Hard-Floor Cleaner","","http://www.2cis.com/images/1229200931354PMHoover_H3040.jpg","114","82.38970000","20.00","","Refurbished",
"Panasonic","KXT7625","Panasonic KX-T7625 Digital Proprietary Speakerphone 24 Button","","http://www.2cis.com/images/PAN_KX-T7625.jpg","149","72.08970000","3.00","","New",
"Uniden","DCX770 RB","Uniden DCX770 2.4GHz Digital Accessory Handset and Charging Crad","","http://www.2cis.com/images/14201025502PMUniden_DCX770.jpg","2","20.58970000","0.00","","Refurbished",
"Toshiba","SDV296 RB","Toshiba SD-V296 Tunerless DVD VCR Combo","","http://www.2cis.com/images/1202010125812PMToshiba_SD-V296.jpg","100","70.02970000","0.00","","Refurbished",
"Panasonic","BBHCM403A RB","Panasonic BB-HCM403A POE Dome Network Camera with 2-way audio ca","","http://www.2cis.com/images/1272010121603PMPAN_BB-HCM403.jpg","1","242.03970000","3.00","","Refurbished",
"Panasonic","BLC121A RB","Panasonic BL-C121A Wireless Network Camera","The BL-C121A is a Wireless Network camera using 802.11g/b wireless technology. Includes a 10x digital zoom, simultaneous MPEG-4/JPEG and 3 LUX Color Night View Mode. Records up to 30 Frames per Second.","http://www.2cis.com/images/1272010121133PMPAN_BL-C121A.jpg","1","113.28970000","2.00","","Refurbished",
"Olympus","227430","Olympus X-42 12 Megapixel 5x Optical Zoom Digital Camera, Black","Loads of technology. Loads of smiles. Don? let its size fool you. It has everything you need to take razor-sharp photos, from Dual Image Stabilization technology to Smile Shot.","http://www.2cis.com/images/392010123608PMOlympus_X-42_Black.jpg","1","52.51970000","0.00","","Refurbished",
"Uniden","DECT1560 RB","Uniden DECT1560 - DECT 6.0 Compact Cordless Phone with Caller ID","","http://www.2cis.com/images/332010124952PMUniden_DECT1560.jpg","4","20.58970000","0.00","","Refurbished",
"Uniden","DECT15803 RB","Uniden DECT1580-3 DECT 6.0 Cordless Digital Answering System wit","","http://www.2cis.com/images/33201010245PMUniden_DECT1580-3.jpg","8","41.18970000","3.00","","Refurbished",
"Uniden","DECT15804 RB","Uniden DECT1580-4 DECT 6.0 Cordless Digital Answering System wit","","http://www.2cis.com/images/33201010359PMUniden_DECT1580-4.jpg","71","51.48970000","4.00","","Refurbished",
"Casio","LK100ADMC RB","Casio LK-100 61 Key Lighted Keyboard W/ Mic. & AC Adaptor","The Casio LK-100 61 Key Musical Keyboard features a 61-key full-size lighted keyboard with Sing-Along function, as well as 100 presets.    This keyboard also comes with 100 built-in songs. Its big LCD screen graphically shows you fingerings and which keys to press.      Lastly, the LK-100 also includes a lesson system that lets you practice at your own pace. The keyboard grades your performances, so you can follow your progress as you improve.","http://www.2cis.com/images/330201012009PMCasio_LK-100.jpg","1","79.29970000","0.00","","Refurbished",
"Panasonic","HDCTM10 RB","Panasonic HDC-TM10K, 8GB Full-HD, 16x Optical Zoom Digital Camco","","http://www.2cis.com/images/3232010120204PMPAN_HDC-TM10K.jpg","6","180.23970000","0.00","","Refurbished",
"Panasonic","KXTCA430","Panasonic KX-TCA430 Headset For Telephone - Mono","","http://www.2cis.com/images/4162010125140PMPAN_KX-TCA430.jpg","51","17.49970000","2.00","","New",
"Panasonic","RPHJE120A","Panasonic RP-HJE120 Earbud Headphones, Blue","","http://www.2cis.com/images/4222010122351PMPAN_RP-HJE120A.jpg","968","6.99370000","1.00","","New",
"Panasonic","RPHJE120D","Panasonic RP-HJE120 Earbud Headphones, Orange","","http://www.2cis.com/images/4222010122022PMPAN_RP-HJE120D.jpg","495","7.19970000","1.00","","New",
"Panasonic","RPHJE120G","Panasonic RP-HJE120 Earbud Headphones, Green","","http://www.2cis.com/images/4222010114851AMPAN_HJ-E120G.jpg","386","7.19970000","1.00","","New",
"Panasonic","RPHJE120K","Panasonic RP-HJE120 Earbud Headphones, Black","","http://www.2cis.com/images/4222010122820PMPAN_RP-HJE120B.jpg","1292","7.19970000","1.00","","New",
"Panasonic","RPHJE120P","Panasonic RP-HJE120 Earbud Headphones, Pink","","http://www.2cis.com/images/4222010122230PMPAN_RP-HJE120P.jpg","454","7.19970000","1.00","","New",
